map,algorithm,weight,steps,normalized_steps,optimality_ratio,success
8room_000,W-SIPP Dupl,2.0,1566,0.7397260273972602,1.0,true
8room_000,W-SIPP Re-exp,2.0,1102,0.5205479452054794,1.0,true
8room_000,Focal SIPP,2.0,1806,0.8530940009447331,1.0,true
8room_000,W-SIPP Dupl,4.0,624,0.2947567312234294,1.0,true
8room_000,W-SIPP Re-exp,4.0,493,0.2328767123287671,1.0,true
8room_000,Focal SIPP,4.0,1310,0.6188001889466226,1.0,true
8room_000,W-SIPP Dupl,1.1,4221,1.6309891808346213,1.0,true
8room_000,W-SIPP Re-exp,1.1,2400,0.9273570324574961,1.0,true
8room_000,Focal SIPP,1.1,2846,1.0996908809891808,1.015267175572519,true
8room_000,W-SIPP Dupl,1.25,2541,0.981839258114374,1.0,true
8room_000,W-SIPP Re-exp,1.25,1956,0.7557959814528593,1.0,true
8room_000,Focal SIPP,1.25,2472,0.955177743431221,1.0305343511450382,true
8room_000,W-SIPP Dupl,1.5,822,0.3176197836166924,1.015267175572519,true
8room_000,W-SIPP Re-exp,1.5,860,0.3323029366306028,1.0,true
8room_000,Focal SIPP,1.5,488,0.18856259659969088,1.0305343511450382,true
8room_000,W-SIPP Dupl,2.0,627,0.24227202472952086,1.015267175572519,true
8room_000,W-SIPP Re-exp,2.0,589,0.2275888717156105,1.0534351145038168,true
8room_000,Focal SIPP,2.0,314,0.1213292117465224,1.1145038167938932,true
8room_000,W-SIPP Dupl,4.0,369,0.14258114374034003,1.282442748091603,true
8room_000,W-SIPP Re-exp,4.0,419,0.16190108191653788,1.2366412213740459,true
8room_000,Focal SIPP,4.0,317,0.12248840803709428,1.1145038167938932,true
8room_000,W-SIPP Dupl,1.1,2659,1.63530135301353,1.0,true
8room_000,W-SIPP Re-exp,1.1,1486,0.9138991389913899,1.0,true
8room_000,Focal SIPP,1.1,1398,0.8597785977859779,1.0,true
8room_000,W-SIPP Dupl,1.25,1846,1.13530135301353,1.0,true
8room_000,W-SIPP Re-exp,1.25,1219,0.7496924969249692,1.0,true
8room_000,Focal SIPP,1.25,1153,0.7091020910209103,1.0,true
8room_000,W-SIPP Dupl,1.5,919,0.5651906519065191,1.0,true
8room_000,W-SIPP Re-exp,1.5,714,0.43911439114391143,1.0,true
8room_000,Focal SIPP,1.5,950,0.5842558425584256,1.0,true
8room_000,W-SIPP Dupl,2.0,346,0.21279212792127922,1.0,true
8room_000,W-SIPP Re-exp,2.0,358,0.2201722017220172,1.0,true
8room_000,Focal SIPP,2.0,94,0.05781057810578106,1.0,true
8room_000,W-SIPP Dupl,4.0,184,0.11316113161131611,1.0,true
8room_000,W-SIPP Re-exp,4.0,215,0.13222632226322265,1.0,true
8room_000,Focal SIPP,4.0,94,0.05781057810578106,1.0,true
8room_000,W-SIPP Dupl,1.1,610,0.6180344478216818,1.0104166666666667,true
8room_000,W-SIPP Re-exp,1.1,470,0.47619047619047616,1.0,true
8room_000,Focal SIPP,1.1,1248,1.2644376899696048,1.0,true
8room_000,W-SIPP Dupl,1.25,312,0.3161094224924012,1.0104166666666667,true
8room_000,W-SIPP Re-exp,1.25,241,0.24417426545086118,1.0104166666666667,true
8room_000,Focal SIPP,1.25,305,0.3090172239108409,1.0,true
8room_000,W-SIPP Dupl,1.5,251,0.25430597771023306,1.0104166666666667,true
8room_000,W-SIPP Re-exp,1.5,206,0.20871327254305977,1.0104166666666667,true
8room_000,Focal SIPP,1.5,97,0.09827760891590678,1.0833333333333333,true
8room_000,W-SIPP Dupl,2.0,192,0.1945288753799392,1.0729166666666667,true
8room_000,W-SIPP Re-exp,2.0,175,0.1773049645390071,1.0416666666666667,true
8room_000,Focal SIPP,2.0,97,0.09827760891590678,1.0833333333333333,true
8room_000,W-SIPP Dupl,4.0,136,0.13779128672745694,1.125,true
8room_000,W-SIPP Re-exp,4.0,136,0.13779128672745694,1.125,true
8room_000,Focal SIPP,4.0,97,0.09827760891590678,1.0833333333333333,true
8room_000,W-SIPP Dupl,1.1,2114,1.8052946199829205,1.0,true
8room_000,W-SIPP Re-exp,1.1,1109,0.9470538001707942,1.0,true
8room_000,Focal SIPP,1.1,1110,0.9479077711357814,1.0,true
8room_000,W-SIPP Dupl,1.25,1815,1.5499573014517507,1.0,true
8room_000,W-SIPP Re-exp,1.25,1011,0.8633646456020495,1.0,true
8room_000,Focal SIPP,1.25,1041,0.8889837745516652,1.0,true
8room_000,W-SIPP Dupl,1.5,1452,1.2399658411614005,1.0,true
8room_000,W-SIPP Re-exp,1.5,906,0.7736976942783945,1.0,true
8room_000,Focal SIPP,1.5,1072,0.9154568744662681,1.0,true
8room_000,W-SIPP Dupl,2.0,980,0.8368915456874466,1.0,true
8room_000,W-SIPP Re-exp,2.0,691,0.5900939368061486,1.0,true
8room_000,Focal SIPP,2.0,452,0.3859948761742101,1.0,true
8room_000,W-SIPP Dupl,4.0,390,0.3330486763450043,1.0,true
8room_000,W-SIPP Re-exp,4.0,321,0.2741246797608881,1.0,true
8room_000,Focal SIPP,4.0,99,0.08454312553373185,1.0,true
8room_000,W-SIPP Dupl,1.1,3547,1.6285583103764922,1.0,true
8room_000,W-SIPP Re-exp,1.1,1940,0.8907254361799817,1.0,true
8room_000,Focal SIPP,1.1,2818,1.2938475665748392,1.1326530612244898,true
8room_000,W-SIPP Dupl,1.25,2567,1.1786042240587695,1.0,true
8room_000,W-SIPP Re-exp,1.25,1634,0.7502295684113865,1.0,true
8room_000,Focal SIPP,1.25,1428,0.6556473829201102,1.0,true
8room_000,W-SIPP Dupl,1.5,2457,1.128099173553719,1.1326530612244898,true
8room_000,W-SIPP Re-exp,1.5,1228,0.5638200183654729,1.0,true
8room_000,Focal SIPP,1.5,3184,1.4618916437098255,1.0,true
8room_000,W-SIPP Dupl,2.0,1037,0.4761248852157943,1.1326530612244898,true
8room_000,W-SIPP Re-exp,2.0,1225,0.5624426078971534,1.0,true
8room_000,Focal SIPP,2.0,443,0.2033976124885216,1.1326530612244898,true
8room_000,W-SIPP Dupl,4.0,316,0.14508723599632692,1.1326530612244898,true
8room_000,W-SIPP Re-exp,4.0,409,0.18778696051423324,1.1326530612244898,true
8room_000,Focal SIPP,4.0,442,0.20293847566574838,1.163265306122449,true
8room_000,W-SIPP Dupl,1.1,322,1.1666666666666667,1.0,true
8room_000,W-SIPP Re-exp,1.1,215,0.7789855072463768,1.0,true
8room_000,Focal SIPP,1.1,412,1.4927536231884058,1.0273972602739727,true
8room_000,W-SIPP Dupl,1.25,230,0.8333333333333334,1.0,true
8room_000,W-SIPP Re-exp,1.25,230,0.8333333333333334,1.0,true
8room_000,Focal SIPP,1.25,78,0.2826086956521739,1.0547945205479452,true
8room_000,W-SIPP Dupl,1.5,345,1.25,1.0273972602739727,true
8room_000,W-SIPP Re-exp,1.5,349,1.2644927536231885,1.0273972602739727,true
8room_000,Focal SIPP,1.5,78,0.2826086956521739,1.0547945205479452,true
8room_000,W-SIPP Dupl,2.0,301,1.0905797101449275,1.3835616438356164,true
8room_000,W-SIPP Re-exp,2.0,326,1.181159420289855,1.3835616438356164,true
8room_000,Focal SIPP,2.0,78,0.2826086956521739,1.0547945205479452,true
8room_000,W-SIPP Dupl,4.0,213,0.7717391304347826,1.4109589041095891,true
8room_000,W-SIPP Re-exp,4.0,246,0.8913043478260869,1.4109589041095891,true
8room_000,Focal SIPP,4.0,78,0.2826086956521739,1.0547945205479452,true
8room_000,W-SIPP Dupl,1.1,3763,1.768327067669173,1.0,true
8room_000,W-SIPP Re-exp,1.1,2002,0.9407894736842105,1.0,true
8room_000,Focal SIPP,1.1,2146,1.0084586466165413,1.0,true
8room_000,W-SIPP Dupl,1.25,3103,1.4581766917293233,1.0,true
8room_000,W-SIPP Re-exp,1.25,1788,0.8402255639097744,1.0,true
8room_000,Focal SIPP,1.25,2026,0.9520676691729323,1.0,true
8room_000,W-SIPP Dupl,1.5,2411,1.1329887218045114,1.0,true
8room_000,W-SIPP Re-exp,1.5,1603,0.7532894736842105,1.0,true
8room_000,Focal SIPP,1.5,1093,0.5136278195488722,1.0,true
8room_000,W-SIPP Dupl,2.0,1470,0.6907894736842105,1.0,true
8room_000,W-SIPP Re-exp,2.0,1184,0.556390977443609,1.0,true
